tracking_status,review_priority,scout_priority,scout_reasons,person_id,display_name,full_title,mekhq_status,rank,primary_role,secondary_role,unit_id,unit_name,crew_role,formation_id,formation_name,employed,deployed,joined_campaign,recruitment_date,salary,highest_education,education_status,education_stage,school_name,program_name,credential_or_qualification,target_role,enrolled_on,expected_graduation,graduated_on,days_remaining,journey_time_days,travel_days_elapsed,requires_assignment_review,latest_education_event,warrior_skills,skill_summary,notable_traits_or_options,traits_or_options_summary,target_job,assignment_action,review_note
enrolled_current,high,high,martial education program: Advanced War Fighting Academy,f2cb56e0-a300-4df6-9441-f4c252d6b726,Rickhart Fairlie,Recruit Rickhart Fairlie,Student,Recruit,Professional,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3025-01-01,3040-07-16,100 C-Bill,High School,in_transit_to_school,Journeying to Campus,Combat College of Remshield,Advanced War Fighting Academy,Advanced War Fighting Academy,Advanced War Fighting Academy,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at Combat College of Remshield studying a Advanced War Fighting Academy course.,,Animal Handling L1/FV7; Career/Any L0/FV7; Science/Psychology L2/FV7; Swimming L0/FV6,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,martial education program: Advanced War Fighting Academy,e4b994a4-e489-4e5b-ba5e-b83c61ecfd80,Tho Kieu,Recruit Tho Kieu,Student,Recruit,Professional,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3025-01-01,3040-07-16,168 C-Bill,College,in_transit_to_school,Journeying to Campus,Combined Arms University of Remshield,Advanced War Fighting Academy,Advanced War Fighting Academy,Advanced War Fighting Academy,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at Combined Arms University of Remshield studying a Advanced War Fighting Academy course.,,Career/Any L2/FV5; Science/Physics L1/FV8,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,martial education program: Flight Academy,772e014c-f792-4669-a81c-3e2d87902d37,Dennis Louca,Recruit Dennis Louca,Student,Recruit,Combat Prosthetics Fitter,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3025-04-04,3040-07-16,168 C-Bill,High School,in_transit_to_school,Journeying to Campus,Remshield Combat Polytechnic of Advanced Technology,Flight Academy,Flight Academy,Flight Academy,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at Remshield Combat Polytechnic of Advanced Technology studying a Flight Academy course.,,Animal Handling L2/FV6; Astech L2/FV5; Cryptography L1/FV8; Investigation L1/FV8; Protocols/Any L1/FV7; Running L1/FV5; Security Systems/Electronic L1/FV8; Surgery/Any L3/FV6,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,martial education program: Advanced AeroSpace Technologies,e962a48f-475e-411b-9106-c4eb00ee1bb4,Chim Nguyen-Tan,Recruit Chim Nguyen-Tan,Student,Recruit,Professional,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3027-08-13,3040-07-16,168 C-Bill,High School,in_transit_to_school,Journeying to Campus,Institute of Remshield,Advanced AeroSpace Technologies,Advanced AeroSpace Technologies,Advanced AeroSpace Technologies,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at Institute of Remshield studying a Advanced AeroSpace Technologies course.,,Art/Painting L1/FV7; Career/Any L1/FV5; Interrogation L1/FV7; Investigation L2/FV5; Swimming L1/FV6,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,martial education program: Advanced War Fighting Academy,448c77b7-cb1a-42d9-8654-5a2a124f40c3,Maurice Ts'ai,Recruit Maurice Ts'ai,Student,Recruit,Systems Consultant,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3028-11-01,3040-07-16,268 C-Bill,High School,in_transit_to_school,Journeying to Campus,Combined Arms College of Remshield,Advanced War Fighting Academy,Advanced War Fighting Academy,Advanced War Fighting Academy,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at Combined Arms College of Remshield studying a Advanced War Fighting Academy course.,,Art/Other L1/FV7; Computers L3/FV5; Cryptography L2/FV5; Language/Any L1/FV5; Security Systems/Electronic L3/FV5; Tracking/Any L1/FV5,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,low,no warrior-candidate signal in compact summaries,0e22c10c-dc7e-4079-824d-331b18dce989,Iyanna Stoltz,Recruit Iyanna Stoltz,Student,Recruit,Dependent,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3029-08-31,3040-07-16,34 C-Bill,Early Childhood,in_transit_to_school,Journeying to Campus,Preparatory School of Remshield,High School Education,High School Education,High School Education,3040-07-16,3044-01-30,Unknown,11,2,1282,false,Enrolled at Preparatory School of Remshield studying a High School Education course.,,,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,low,no warrior-candidate signal in compact summaries,bc6fe0f5-456e-4c5f-82ff-2e8dff2253e9,Guedado Rang,Recruit Guedado Rang,Student,Recruit,Dependent,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3030-12-13,3040-07-16,34 C-Bill,Early Childhood,in_transit_to_school,Journeying to Campus,Institute of Remshield,Private Education,Private Education,Private Education,3040-07-16,3044-01-29,Unknown,10,2,1282,false,Enrolled at Institute of Remshield studying a Private Education course.,,,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,high,martial education program: Flight Academy,b7ea6514-b936-4838-b8b9-2b5e3442f69b,Assunção Holle,Recruit Assunção Holle,Student,Recruit,Artist,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3032-06-01,3040-07-16,168 C-Bill,High School,in_transit_to_school,Journeying to Campus,Combat Academy of Remshield,Flight Academy,Flight Academy,Flight Academy,3040-07-16,3045-09-10,Unknown,600,2,1282,false,Enrolled at Combat Academy of Remshield studying a Flight Academy course.,,Art/Drawing L4/FV5; Art/Instrument L0/FV9; Career/Any L1/FV6; Computers L3/FV6; Science/Military L0/FV8; Streetwise/Any L1/FV6,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,low,no warrior-candidate signal in compact summaries,189aa78a-2605-4f42-b67f-fa214632af56,Estefany Castillo,Recruit Estefany Castillo,Student,Recruit,Dependent,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3032-07-01,3040-07-16,34 C-Bill,Early Childhood,in_transit_to_school,Journeying to Campus,Remshield Academy of Science,High School Education,High School Education,High School Education,3040-07-16,3044-01-30,Unknown,11,2,1282,false,Enrolled at Remshield Academy of Science studying a High School Education course.,,Computers L0/FV9; Interest/Archeology L1/FV8; Science/Physics L1/FV8,,Gregarious (ATOW),,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
enrolled_current,high,low,no warrior-candidate signal in compact summaries,bc545c9c-1655-4a72-8b99-b072598e6a82,Dawn Fumu,Recruit Dawn Fumu,Student,Recruit,Dependent,None,Unknown,Unknown,Unknown,Unknown,Unknown,true,false,3033-04-23,3040-07-16,34 C-Bill,Early Childhood,in_transit_to_school,Journeying to Campus,Remshield Institute of Technology,High School Education,High School Education,High School Education,3040-07-16,3044-01-30,Unknown,11,2,1282,false,Enrolled at Remshield Institute of Technology studying a High School Education course.,,,,,,,MekHQ currently marks this person as Student; keep on the school roster until status changes.
